ID,Stratum,landcover,alertstrata,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS,GlobalForestChangeYear(Hansen2013)
38,2,1,2,113.6356193,32.92866291,49,746442.3348,3646461.078,18215,171785,746445,3646455,49SGS,0
39,2,1,2,100.0751305,32.25317943,47,601274.3622,3569006.397,13376,184367,601275,3568995,47SPR,0
40,3,1,3,-72.94995781,10.69555272,18,724226.0131,1183061.602,17474,270564,724215,1183065,18PYS,0
41,2,1,2,39.19250491,21.51004224,37,519938.0791,2378609.393,10665,220713,519945,2378595,37QED,0
42,2,1,2,-116.8430721,40.15142351,11,513365.6846,4444575.77,10446,145181,513375,4444575,11TNE,0
43,3,1,3,-4.28352009,41.48106322,30,392841.5403,4592956.972,6428,80235,392835,4592955,30TUM,0
44,2,1,2,100.6315799,14.34715125,47,675948.8712,1586740.966,15865,250442,675945,1586745,47PPR,0
45,5,1,5,114.1118166,39.75300485,50,252560.2752,4404333.735,1752,136522,252555,4404345,50TKK,0
46,3,1,3,88.78003265,24.8864212,45,679806.1616,2753547.055,15994,211549,679815,2753535,45RXH,0
47,4,1,4,115.9970247,30.98603936,50,404233.6341,3428486.306,6808,169051,404235,3428475,50RMV,0
48,5,1,5,111.5074774,-7.657876844,49,555969.9378,-846508.9459,11866,321550,555975,-846495,49MEM,0
49,5,1,5,107.8311891,22.89312723,48,790455.4992,2534482.258,19682,212185,790455,2534475,48QYL,0
50,2,1,2,39.42560079,23.68043736,37,543394.8069,2618911.975,11447,212702,543405,2618925,37QEG,0
51,5,1,5,-8.55485384,41.23277129,29,537305.5054,4564692.927,11244,151177,537315,4564695,29TNF,0
52,3,1,3,121.4871081,-3.99552771,51,332039.9903,-441787.5825,4401,291394,332025,-441795,51MUR,0
53,4,1,4,101.5674215,15.95376229,47,774834.1585,1765514.15,19161,244483,774825,1765515,47PQT,0
54,2,1,2,-97.41891091,33.20040847,14,647371.4862,3674618.187,14913,180846,647385,3674625,14SPB,0
55,2,1,2,39.24945984,21.85809817,37,525775.053,2417141.44,10859,219428,525765,2417145,37QEE,0
56,5,1,5,108.7437802,18.67006226,49,262019.7705,2065821.726,2067,224473,262005,2065815,49QBA,0
57,4,1,4,35.48826262,0.666524011,36,776950.3547,73740.95318,19232,260875,776955,73755,36NYF,0
58,3,1,3,12.35574069,41.9961639,33,280987.308,4652733.001,2700,144908,280995,4652745,33TTG,0
59,4,1,4,-92.16447166,42.1953007,15,568984.7224,4671798.461,12300,150941,568995,4671795,15TWG,0
60,2,1,2,13.59841673,-18.56948837,33,352096.4515,-2053769.564,5070,368458,352095,-2053755,33KUV,0
61,2,1,2,109.6122073,22.17247831,49,356914.6582,2452572.158,5231,211581,356925,2452575,49QCE,0
62,2,1,2,48.41594676,36.67319614,39,269078.2364,4061731.239,2303,167942,269085,4061745,39STA,0
63,3,1,3,120.9035098,32.25705359,51,302510.6543,3570857.647,3417,157639,302505,3570855,51SUR,0
64,4,1,4,80.24746314,12.85467586,44,418344.5273,1421184.27,7278,252627,418335,1421175,44PMV,0
