granuleID,SensingTime,VEG-IND,VEG-ANOM,VBaseline,VBaselineCount,NDVI,NDVIbaseline
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230328T141719Z_20231221T042615Z_S2B_30_v1_VEG-DIST-STATUS,20230328,255,255,0,-1,24,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230331T142719Z_20231221T042627Z_S2B_30_v1_VEG-DIST-STATUS,20230331,255,255,0,-1,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230402T141711Z_20231221T042639Z_S2A_30_v1_VEG-DIST-STATUS,20230402,48,0,0,-1,26,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230402T142116Z_20231221T042650Z_L9_30_v1_VEG-DIST-STATUS,20230402,45,0,0,-1,26,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230403T141452Z_20231221T042702Z_L8_30_v1_VEG-DIST-STATUS,20230403,255,255,0,-1,26,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230405T142711Z_20231221T042713Z_S2A_30_v1_VEG-DIST-STATUS,20230405,255,255,0,-1,27,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230407T141719Z_20231221T042725Z_S2B_30_v1_VEG-DIST-STATUS,20230407,49,0,0,-1,28,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230410T142052Z_20231221T042737Z_L8_30_v1_VEG-DIST-STATUS,20230410,255,255,0,-1,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230410T142719Z_20231221T042749Z_S2B_30_v1_VEG-DIST-STATUS,20230410,255,255,0,-1,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230411T141501Z_20231221T042801Z_L9_30_v1_VEG-DIST-STATUS,20230411,44,0,0,-1,25,4
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230412T141711Z_20231221T042813Z_S2A_30_v1_VEG-DIST-STATUS,20230412,255,255,0,-1,27,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230417T141719Z_20231221T042825Z_S2B_30_v1_VEG-DIST-STATUS,20230417,51,0,0,-1,27,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230418T142110Z_20231221T042837Z_L9_30_v1_VEG-DIST-STATUS,20230418,255,255,28,0,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230419T141438Z_20231221T042848Z_L8_30_v1_VEG-DIST-STATUS,20230419,50,0,28,0,25,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230420T142719Z_20231221T042859Z_S2B_30_v1_VEG-DIST-STATUS,20230420,255,255,28,0,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230422T141711Z_20231221T042911Z_S2A_30_v1_VEG-DIST-STATUS,20230422,49,0,21,0,28,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230425T142711Z_20231221T042922Z_S2A_30_v1_VEG-DIST-STATUS,20230425,255,255,21,0,26,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230426T142049Z_20231221T042933Z_L8_30_v1_VEG-DIST-STATUS,20230426,255,255,21,0,25,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230427T141454Z_20231221T042944Z_L9_30_v1_VEG-DIST-STATUS,20230427,255,255,21,0,28,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230427T141719Z_20231221T042956Z_S2B_30_v1_VEG-DIST-STATUS,20230427,255,255,21,0,28,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230502T141711Z_20231221T043007Z_S2A_30_v1_VEG-DIST-STATUS,20230502,47,0,21,0,26,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230504T142057Z_20231221T043019Z_L9_30_v1_VEG-DIST-STATUS,20230504,44,0,21,0,25,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230505T141433Z_20231221T043031Z_L8_30_v1_VEG-DIST-STATUS,20230505,255,255,21,0,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230505T142711Z_20231221T043042Z_S2A_30_v1_VEG-DIST-STATUS,20230505,255,255,21,0,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230510T142719Z_20231221T043054Z_S2B_30_v1_VEG-DIST-STATUS,20230510,255,255,21,0,24,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230512T141711Z_20231221T043105Z_S2A_30_v1_VEG-DIST-STATUS,20230512,49,0,20,0,26,3
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230512T142036Z_20231221T043117Z_L8_30_v1_VEG-DIST-STATUS,20230512,42,0,20,0,26,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230513T141445Z_20231221T043128Z_L9_30_v1_VEG-DIST-STATUS,20230513,41,0,20,0,25,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230515T142711Z_20231221T043139Z_S2A_30_v1_VEG-DIST-STATUS,20230515,255,255,20,0,24,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230520T142051Z_20231221T043151Z_L9_30_v1_VEG-DIST-STATUS,20230520,38,0,20,0,19,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230520T142719Z_20231221T043203Z_S2B_30_v1_VEG-DIST-STATUS,20230520,255,255,20,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230521T141425Z_20231221T043215Z_L8_30_v1_VEG-DIST-STATUS,20230521,40,0,20,0,19,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230522T141711Z_20231221T043227Z_S2A_30_v1_VEG-DIST-STATUS,20230522,255,255,20,0,20,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230525T142721Z_20231221T043239Z_S2A_30_v1_VEG-DIST-STATUS,20230525,255,255,20,0,17,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230527T141719Z_20231221T043251Z_S2B_30_v1_VEG-DIST-STATUS,20230527,255,255,20,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230528T142037Z_20231221T043302Z_L8_30_v1_VEG-DIST-STATUS,20230528,37,0,20,0,19,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230529T141436Z_20231221T043314Z_L9_30_v1_VEG-DIST-STATUS,20230529,29,0,20,0,20,17
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230604T142721Z_20231221T043326Z_S2A_30_v1_VEG-DIST-STATUS,20230604,255,255,20,0,16,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230605T142045Z_20231221T043338Z_L9_30_v1_VEG-DIST-STATUS,20230605,255,255,20,0,16,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230606T141430Z_20231221T043351Z_L8_30_v1_VEG-DIST-STATUS,20230606,255,255,11,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230606T141719Z_20231221T043403Z_S2B_30_v1_VEG-DIST-STATUS,20230606,255,255,11,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230609T142719Z_20231221T043415Z_S2B_30_v1_VEG-DIST-STATUS,20230609,255,255,11,0,16,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230611T141711Z_20231221T043426Z_S2A_30_v1_VEG-DIST-STATUS,20230611,37,0,11,0,18,3
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230613T142045Z_20231221T043439Z_L8_30_v1_VEG-DIST-STATUS,20230613,31,0,11,0,16,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230614T141427Z_20231221T043450Z_L9_30_v1_VEG-DIST-STATUS,20230614,255,255,11,0,17,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230614T142721Z_20231221T043501Z_S2A_30_v1_VEG-DIST-STATUS,20230614,255,255,11,0,17,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230616T141719Z_20231221T043513Z_S2B_30_v1_VEG-DIST-STATUS,20230616,31,0,11,0,18,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230621T141721Z_20231221T043524Z_S2A_30_v1_VEG-DIST-STATUS,20230621,255,255,11,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230621T142038Z_20231221T043535Z_L9_30_v1_VEG-DIST-STATUS,20230621,255,255,11,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230622T141435Z_20231221T043546Z_L8_30_v1_VEG-DIST-STATUS,20230622,255,255,11,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230624T142721Z_20231221T043557Z_S2A_30_v1_VEG-DIST-STATUS,20230624,255,255,11,0,20,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230626T141719Z_20231221T043608Z_S2B_30_v1_VEG-DIST-STATUS,20230626,255,255,11,0,20,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230629T142719Z_20231221T043620Z_S2B_30_v1_VEG-DIST-STATUS,20230629,255,255,11,0,16,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230630T141435Z_20231221T043632Z_L9_30_v1_VEG-DIST-STATUS,20230630,25,0,11,0,17,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230701T141711Z_20231221T043643Z_S2A_30_v1_VEG-DIST-STATUS,20230701,255,255,11,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230704T142721Z_20231221T043654Z_S2A_30_v1_VEG-DIST-STATUS,20230704,255,255,11,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230706T141719Z_20231221T043704Z_S2B_30_v1_VEG-DIST-STATUS,20230706,255,255,11,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230707T142052Z_20231221T043716Z_L9_30_v1_VEG-DIST-STATUS,20230707,255,255,18,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230708T141449Z_20231221T043728Z_L8_30_v1_VEG-DIST-STATUS,20230708,23,0,18,0,19,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230709T142719Z_20231221T043739Z_S2B_30_v1_VEG-DIST-STATUS,20230709,255,255,18,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230714T142721Z_20231221T043751Z_S2A_30_v1_VEG-DIST-STATUS,20230714,255,255,18,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230715T142101Z_20231221T043802Z_L8_30_v1_VEG-DIST-STATUS,20230715,255,255,18,0,18,-1
